"אינדקס","מקור","תרגום","הערות"
"0","a | all | an | another | at | down | every | first | for | from | gingerbread | guess | i | in | into | is | it | little | me | my | now | of | off | old | on | out | over | palm | please | second | sir | some | that | the | these | third | this | those | through | to | under | up | will | with | you","ה | כל | עוד | נוסף | ב | למטה | כל | ראשון | עבור | מ | זיגוג | אני | ב | לתוך | הוא | זה | קטן | אותי | שלי | עכשיו | של | מכובה | ישן | על | החוצה | מעל | כף | בבקשה | שני | אדון | קצת | זה | ה | אלה | שלישי | זה | אלה | דרך | ל | מתחת | למעלה | יהיה | עם | אתה | שלך | את | אל | איתי",""
"1","anyword","anyword",""
"2","check out | examine | inspect | look | view","לבחון | לראות | בדוק | התבונן | בחן | הסתכל | בוחן | תסתכל | הבט",""
"3","area | around | bedchamber | cave | cavern | chamber | corridor | forest | hall | hall way | hallway | landscape | room | vicinity | zone","אזור | מסביב | חדר שינה | מערה | מערה | חדר | מסדרון | יער | אולם | מסדרון | מסדרון | נוף | חדר | סביבה | אזור",""
"4","enter | go | get in","להיכנס | ללכת | כנס | לך | בוא",""
"5","acquire | get | pick | rob | swipe | take","קח | לקחת | הרם | השג",""
"6","climb | scale","טפס | עלה | טיפוס",""
"7","play","נגן | שחק",""
"8","grass | ground","דשא | אדמה | קרקע",""
"9","tree | trees | woods","עץ | עצים | יער | עצה",""
"10","beach | sand | seashore","חוף | חול | חוף הים | שפת הים",""
"11","bush | bushes | foliage | plant | plants | shrub | shrubs","שיח | שיחים | צמחייה | צמח | צמחים | שיח | שיחים",""
"13","speak | talk","דבר | שוחח | תדבר",""
"14","find | locate","למצוא | לאתר | מצא | חפש | תמצא",""
"15","smell | sniff","להריח | להרחה | הרח | ריח",""
"16","blossom | blossoms | flower | flowers","פריחה | פריחות | פרח | פרחים | לפרוח",""
"17","basket | basket of goodies | food | goodies | goody basket | snacks","סל | סל מטעמים | אוכל | מטעמים | סל טעימות | חטיפים | מזון | טעימות | סל פינוקים",""
"18","bitch | cunt | damsel | fairy | girl | grandma | grandmother | hag | hagatha | her | hose bag | lady | little red riding hood | maiden | mermaid | old hag | old lady | old woman | red riding hood | riding hood | slut | sperm burping gutter slut | valanice | whore | witch | woman","עלמה | פיה | ילדה | סבתא | סבתא | מכשפה | הגאתה | היא | גברת | כיפה אדומה | עלמה | בת ים | מכשפה זקנה | זקנה | אישה זקנה | כיפה אדומה | כיפה | ולאניס | מכשפה | אישה | אם | בת | בת הים | בחורה | נערה | אשה | בתולת ים | בתולת הים | ולאניס",""
"19","open","פתח | פתוח | תפתח",""
"20","break | knock down | smash","שבור | רסק | להרוס | הרס | להפיל",""
"21","antique shop | antique store | building | castle | church | cottage | house | monastery | palace | shop | store | tower","חנות עתיקות | בניין | טירה | כנסייה | בקתה | בית | מנזר | ארמון | חנות | חנות | מגדל",""
"22","door | doors","דלת | דלתות | שער | שערים",""
"24","window","חלון | חלונות",""
"25","show","להראות | הראה | תראה | הצג",""
"26","tp","טלפורט",""
"28","close | shut","סגור | תסגור | לסגר",""
"29","brooch","סיכת נוי | סיכה | תליון",""
"30","capture | catch","תפוס | לכוד | תלכוד",""
