"אינדקס","מקור","תרגום","הערות"
"0","abominable | an | and | another | around | at | baby | bad | been | big | black | brass | buried | carving | ceramic | clay | cloud land | cloudland | cold | daventry | dead | deer skin | deerskin | dining | dried | every | for | front | good | guess | have | hot | hurry | if | in | into | invisibility | invisible | iron | is | it | its | large | later | leather | little | llewdor | mama | metal | mine | my | now | oak | of | oh | old | pair | palm | papa | petal | please | powdered | quickly | rose | sack | sacks | silver | slowly | small | some | soon | sprig | tail | that | the | these | this | those | tin | to | tuft | underground | want | what | when | why | will | wooden | you | your","את | אל | של",
"2","examine | feel | look | look on | see | show | view","הבט | הסתכל | בדוק",
"3","cast | do | fix | perform | prepare","עשה | תקן | ביצע | הכן",
"4","tp","",
"5","quit | stop","צא | עצור",
"6","position","",
"7","slow","איטי | לאט",
"8","normal","רגיל | נורמלי",
"9","fast","מהיר | מהר",
"10","fastest","הכי מהיר | מהירות מרבית | הכי מהר",
"11","priority","",
"12","sp","",
"13","restart","התחל מחדש | אתחל",
"14","capture | catch | get | pick | pick up | take","קח | הרם | טול | לקחת",
"15","reset","אפס | איפוס",
"16","banner | banners | flag | flags","דגל | דגלים",
"18","bye | good bye | so long","שלום | להתראות",
"19","chart","",
"20","bedroom","חדר שינה | חדר מיטות",
"21","var","",
"22","hall | hallway","מסדרון | אולם",
"23","office | study","משרד | חדר עבודה",
"24","who","",
"25","bar | tavern","בר | פונדק | בית מרזח | טברנה",
"26","kitchen","מטבח",
"27","rise | stand","קום | עמוד",
"28","lab | laboratory","מעבדה",
"30","tower","מגדל",
"31","deck | earth | floor | grass | grasses | ground","סיפון | אדמה | רצפה | דשא | קרקע",
"32","spyglass | telescope","משקפת | טלסקופ",
"33","stair | staircase | stairs | stairway | steps | upstairs","מדרגה | מדרגות | גרם מדרגות | למעלה",
"34","glass | pane | window | windows","זכוכית | שמשה | חלון | חלונות",
"35","bug | fly | fly wings | wings","פרפר | זבוב | כנפיים | כנפי זבוב",
"36","lift | open","העלה | פתח",
"37","move | pull | push | replace | shove | turn","הזז | משוך | דחף | החלף | דחוף | סובב",
"38","board | enter | exit | get out | go | leave","צא | עזוב",
"39","climb","טפס",
